Date;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromse;EE;ELE;LV;LT
01.01.2013;00-01;31,05;31,04;31,04;31,04;31,04;31,04;14,03;14,03;32,98;32,98;32,98;31,04;31,04;31,04;31,12;31,12;;24,42
01.01.2013;01-02;30,47;27,51;27,51;27,51;27,51;27,51;11,06;11,06;32,97;32,97;32,97;30,81;30,81;30,81;30,61;30,61;;23,62
01.01.2013;02-03;28,92;24,44;24,44;24,44;24,44;24,44;8,50;8,50;32,59;32,59;32,59;30,77;30,77;30,77;24,44;24,44;;23,93
01.01.2013;03-04;27,88;21,81;21,81;21,81;21,81;21,81;0,10;0,10;31,53;31,53;31,53;30,71;30,71;30,71;21,81;21,81;;23,85
01.01.2013;04-05;26,96;22,37;22,37;22,37;22,37;22,37;2,01;2,01;30,54;30,54;30,54;30,63;30,63;30,63;22,37;22,37;;23,26
01.01.2013;05-06;27,84;25,51;25,51;25,51;25,51;25,51;22,81;22,81;29,93;29,93;29,93;30,58;30,58;30,58;25,51;25,51;;23,54
01.01.2013;06-07;28,79;27,93;27,93;27,93;27,93;27,93;27,93;27,93;30,23;30,23;30,23;30,64;30,64;30,64;30,71;30,71;;22,47
01.01.2013;07-08;28,63;28,01;28,01;28,01;28,01;28,01;28,01;28,01;29,74;29,74;29,74;30,73;30,73;30,73;30,92;30,92;;28,55
01.01.2013;08-09;28,44;27,80;27,80;27,80;27,80;27,80;27,80;27,80;30,30;30,30;30,30;30,63;30,63;30,63;30,88;30,88;;28,34
01.01.2013;09-10;28,30;27,35;27,35;27,35;27,35;27,35;27,35;27,35;30,00;30,00;30,00;30,62;30,62;30,62;31,50;31,50;;28,00
01.01.2013;10-11;30,65;28,22;28,22;28,22;28,22;28,22;28,22;28,22;32,12;32,12;32,12;30,90;30,90;30,90;31,83;31,83;;28,07
01.01.2013;11-12;31,55;30,27;30,27;30,27;30,27;30,27;30,27;30,27;32,31;32,31;32,31;31,74;31,74;31,74;32,24;32,24;;28,06
01.01.2013;12-13;32,16;30,27;30,27;30,27;30,27;30,27;30,27;30,27;32,86;32,86;32,86;33,24;33,24;33,24;32,29;32,29;;28,12
01.01.2013;13-14;32,45;31,02;31,02;31,02;31,02;31,02;31,02;31,02;32,94;32,94;32,94;33,33;33,33;33,33;32,37;32,37;;28,12
01.01.2013;14-15;32,63;32,36;32,36;32,36;32,36;32,36;32,36;32,36;32,74;32,74;32,74;33,71;33,71;33,71;33,03;33,03;;28,22
01.01.2013;15-16;33,65;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;34,00;34,00;34,00;34,19;34,19;;28,28
01.01.2013;16-17;34,90;34,96;34,96;34,96;34,96;34,96;34,43;34,96;34,96;34,96;34,96;34,96;34,96;34,96;34,96;34,96;;28,31
01.01.2013;17-18;36,22;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;36,24;;28,30
01.01.2013;18-19;36,65;36,59;36,59;36,59;36,59;36,59;37,12;37,12;36,59;36,59;36,59;36,59;36,59;36,59;36,59;36,59;;28,42
01.01.2013;19-20;36,37;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;36,34;;28,04
01.01.2013;20-21;35,49;35,47;35,47;35,47;35,47;35,47;36,30;35,47;35,47;35,47;35,47;35,47;35,47;35,47;35,47;35,47;;27,99
01.01.2013;21-22;34,41;34,41;34,41;34,41;34,41;34,41;33,59;34,41;34,41;34,41;34,41;34,41;34,41;34,41;34,41;34,41;;23,03
01.01.2013;22-23;34,66;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;34,65;;23,80
01.01.2013;23-00;32,55;32,45;32,45;32,45;32,45;32,45;25,34;25,34;33,00;33,00;33,00;32,45;32,45;32,45;32,45;32,45;;23,68
02.01.2013;00-01;33,15;32,84;32,84;32,84;32,84;32,84;23,61;23,61;34,06;34,06;34,06;32,84;32,84;32,84;32,84;32,84;;30,01
02.01.2013;01-02;32,66;32,35;32,35;32,35;32,35;32,35;14,92;14,92;33,67;33,67;33,67;32,35;32,35;32,35;32,35;32,35;;26,02
02.01.2013;02-03;31,83;31,83;31,83;31,83;31,83;31,83;16,45;16,45;32,58;32,58;32,58;31,83;31,83;31,83;31,83;31,83;;30,00
02.01.2013;03-04;31,47;32,17;32,17;32,17;32,17;32,17;11,81;11,81;32,17;32,17;32,17;32,17;32,17;32,17;32,17;32,17;;26,10
02.01.2013;04-05;32,56;32,97;32,97;32,97;32,97;32,97;11,99;11,99;32,97;32,97;32,97;32,97;32,97;32,97;32,97;32,97;;30,03
02.01.2013;05-06;34,36;35,02;35,02;35,02;35,02;35,02;29,67;29,67;35,02;33,62;35,02;35,02;35,02;35,02;35,02;35,02;;44,05
02.01.2013;06-07;36,28;36,36;36,36;36,36;36,36;36,73;31,03;36,36;36,36;36,36;36,36;36,36;36,36;36,36;36,73;36,73;;23,26
02.01.2013;07-08;38,39;38,85;38,85;38,85;38,85;42,50;44,38;39,05;38,85;37,22;38,85;38,85;38,85;38,85;42,50;42,50;;29,72
02.01.2013;08-09;39,09;39,42;39,42;39,42;39,42;39,42;39,42;39,42;39,42;37,79;39,42;39,42;39,42;39,42;39,52;39,52;;29,73
02.01.2013;09-10;38,33;38,54;38,54;38,54;38,54;38,54;38,54;38,54;38,54;37,89;38,54;38,54;38,54;38,54;41,98;41,98;;29,29
02.01.2013;10-11;38,42;38,68;38,68;38,68;38,68;38,68;38,68;38,68;38,68;37,87;38,68;38,68;38,68;38,68;44,00;44,00;;29,29
02.01.2013;11-12;38,25;38,49;38,49;38,49;38,49;38,49;38,49;38,49;38,49;37,84;38,49;38,49;38,49;38,49;41,35;41,35;;29,26
02.01.2013;12-13;37,96;38,07;38,07;38,07;38,07;38,07;38,07;38,07;38,07;37,83;38,07;38,07;38,07;38,07;44,02;44,02;;29,40
